sensor-id,temp [¡C],revC_raw_tmp,revC_raw_rv,tsi_value [m/s]
11,24.5,1.553,1.415,0.6647
11,24.5,1.552,1.413,0.6696
11,24.5,1.555,1.421,0.6745
11,24.5,1.552,1.418,0.6916
11,24.5,1.554,1.422,0.6916
11,24.5,1.552,1.411,0.716
11,24.5,1.556,1.412,0.7209
11,24.5,1.552,1.421,0.7258
11,24.5,1.553,1.427,0.7258
11,24.5,1.555,1.425,0.7038
11,24.5,1.557,1.425,0.7038
11,24.5,1.555,1.424,0.7038
11,24.5,1.554,1.415,0.7014
11,24.5,1.557,1.424,0.6891
11,24.5,1.557,1.424,0.6891
11,24.5,1.555,1.43,0.7209
11,24.5,1.557,1.423,0.7209
11,24.5,1.552,1.427,0.7234
11,24.5,1.557,1.424,0.7209
11,24.5,1.552,1.417,0.7111
11,24.5,1.555,1.415,0.7111
11,24.6,1.554,1.413,0.6989
11,24.6,1.557,1.425,0.6916
11,24.5,1.557,1.42,0.6818
11,24.5,1.555,1.413,0.6818
11,24.5,1.558,1.413,0.6891
11,24.5,1.558,1.417,0.6891
11,24.6,1.556,1.421,0.6989
11,24.6,1.557,1.422,0.7087
11,24.5,1.557,1.421,0.7111
11,24.5,1.557,1.424,0.7111
11,24.5,1.557,1.413,0.7234
11,24.5,1.553,1.424,0.7234
11,24.6,1.556,1.422,0.7038
11,24.6,1.558,1.429,0.694
11,24.6,1.553,1.431,0.6916
11,24.6,1.554,1.427,0.6916
11,24.6,1.555,1.426,0.6891
11,24.6,1.552,1.433,0.6867
11,24.5,1.557,1.421,0.694
11,24.5,1.552,1.423,0.694
11,24.6,1.555,1.418,0.6867
11,24.6,1.554,1.417,0.6867
11,24.6,1.552,1.422,0.6891
11,24.6,1.551,1.422,0.6843
11,24.6,1.554,1.419,0.6818
11,24.6,1.552,1.417,0.6818
11,24.6,1.555,1.424,0.7038
11,24.6,1.555,1.419,0.7038
11,24.6,1.554,1.417,0.7014
11,24.6,1.555,1.415,0.6965
11,24.6,1.557,1.418,0.694
11,24.6,1.554,1.421,0.694
11,24.6,1.551,1.421,0.6843
11,24.6,1.557,1.417,0.6843
11,24.6,1.552,1.426,0.6916
11,24.6,1.553,1.424,0.694
11,24.6,1.553,1.424,0.6965
11,24.6,1.555,1.424,0.6965
11,24.6,1.558,1.426,0.7111
11,24.6,1.554,1.431,0.7185
11,24.6,1.557,1.424,0.7307
11,24.6,1.553,1.429,0.7307
11,24.6,1.555,1.437,0.7454
11,24.6,1.558,1.446,0.7454
11,24.6,1.552,1.453,0.738
11,24.6,1.558,1.447,0.7234
11,24.6,1.555,1.447,0.7283
11,24.6,1.552,1.445,0.7283
11,24.6,1.555,1.439,0.716
11,24.6,1.557,1.439,0.716
11,24.6,1.557,1.451,0.7283
11,24.6,1.558,1.441,0.7307
11,24.6,1.557,1.431,0.7429
11,24.6,1.554,1.444,0.7429
11,24.6,1.557,1.441,0.7722
11,24.6,1.558,1.438,0.782
11,24.6,1.552,1.442,0.8016
11,24.6,1.555,1.429,0.8016
11,24.6,1.555,1.431,0.826
11,24.6,1.553,1.429,0.826
11,24.6,1.559,1.447,0.8065
11,24.6,1.558,1.447,0.8089
11,24.6,1.559,1.441,0.8162
11,24.6,1.559,1.438,0.8162
11,24.6,1.559,1.435,0.8138
11,24.6,1.555,1.442,0.8138
11,24.6,1.557,1.443,0.8016
11,24.6,1.553,1.435,0.7942
11,24.6,1.555,1.439,0.7967
11,24.6,1.555,1.438,0.7967
11,24.6,1.555,1.43,0.7869
11,24.6,1.552,1.431,0.7869
11,24.6,1.559,1.434,0.7893
11,24.6,1.554,1.435,0.7893
11,24.6,1.555,1.431,0.7796
11,24.6,1.555,1.439,0.7796
11,24.7,1.555,1.429,0.7649
11,24.7,1.555,1.438,0.7625
11,24.6,1.554,1.451,0.7551
11,24.6,1.557,1.451,0.7551
11,24.6,1.557,1.438,0.7796
11,24.6,1.552,1.438,0.7796
11,24.7,1.555,1.437,0.7845
11,24.7,1.557,1.429,0.7918
11,24.7,1.554,1.427,0.7918
11,24.7,1.556,1.429,0.7918
11,24.7,1.554,1.438,0.8065
11,24.7,1.557,1.455,0.7942
11,24.7,1.552,1.443,0.7942
11,24.7,1.552,1.442,0.7967
11,24.7,1.555,1.441,0.8065
